function,batch_size,time_taken_secs
load_all_the_images_and_then_encode_them_together,1,0.3505127429962158
load_all_the_images_and_then_encode_them_together,2,0.894385814666748
load_all_the_images_and_then_encode_them_together,4,1.2642021179199219
load_all_the_images_and_then_encode_them_together,8,2.121213912963867
load_all_the_images_and_then_encode_them_together,16,4.049428939819336
load_all_the_images_and_then_encode_them_together,32,10.692378044128418
load_all_the_images_and_then_encode_them_together,48,12.503237009048462
load_all_the_images_and_then_encode_them_together,64,15.944952964782715
load_all_the_images_and_then_encode_them_together,96,24.013602018356323
load_all_the_images_and_then_encode_them_together,128,31.744909048080444
load_all_the_images_and_then_encode_them_together,160,62.02599501609802
load_all_the_images_and_then_encode_them_together,176,74.36587524414062
load_all_the_images_and_then_encode_them_together,192,55.8224880695343
load_all_the_images_and_then_encode_them_together,192,69.7070140838623
load_each_image_and_encode_immediately,1,0.36641693115234375
load_each_image_and_encode_immediately,2,0.5666558742523193
load_each_image_and_encode_immediately,4,1.1016011238098145
load_each_image_and_encode_immediately,8,2.146059989929199
load_each_image_and_encode_immediately,16,4.239378213882446
load_each_image_and_encode_immediately,32,8.477205991744995
load_each_image_and_encode_immediately,48,12.680202007293701
load_each_image_and_encode_immediately,64,16.839269161224365
load_each_image_and_encode_immediately,96,25.30532670021057
load_each_image_and_encode_immediately,128,33.8774938583374
load_each_image_and_encode_immediately,160,43.63617205619812
load_each_image_and_encode_immediately,176,50.05594611167908
load_each_image_and_encode_immediately,192,53.06697392463684
load_each_image_and_encode_immediately,1,0.3462247848510742
load_each_image_and_encode_immediately,2,0.5668838024139404
load_each_image_and_encode_immediately,4,1.0947740077972412
load_each_image_and_encode_immediately,8,2.157705783843994
load_each_image_and_encode_immediately,16,4.276679754257202
load_each_image_and_encode_immediately,32,8.534475088119507
load_each_image_and_encode_immediately,48,12.714519739151001
load_each_image_and_encode_immediately,64,17.011339902877808
load_each_image_and_encode_immediately,96,25.403799057006836
load_each_image_and_encode_immediately,128,33.89065384864807
load_each_image_and_encode_immediately,160,50.06847310066223
load_each_image_and_encode_immediately,176,49.445605993270874
load_each_image_and_encode_immediately,192,55.12260913848877
load_all_the_images_and_then_encode_them_together,1,0.3430488109588623
load_all_the_images_and_then_encode_them_together,2,0.5528900623321533
load_all_the_images_and_then_encode_them_together,4,1.0509579181671143
load_all_the_images_and_then_encode_them_together,8,1.9698350429534912
load_all_the_images_and_then_encode_them_together,16,3.946911096572876
load_all_the_images_and_then_encode_them_together,32,9.402919054031372
load_all_the_images_and_then_encode_them_together,48,12.389940977096558
load_all_the_images_and_then_encode_them_together,64,15.885632038116455
load_all_the_images_and_then_encode_them_together,96,23.890548944473267
load_all_the_images_and_then_encode_them_together,128,32.15808296203613
load_all_the_images_and_then_encode_them_together,160,65.44557809829712
load_all_the_images_and_then_encode_them_together,176,77.49806618690491
load_all_the_images_and_then_encode_them_together,192,67.70026397705078
load_each_image_and_encode_immediately,224,59.28091907501221
load_each_image_and_encode_immediately,256,67.7865526676178
load_each_image_and_encode_immediately,320,88.23027992248535
load_each_image_and_encode_immediately,384,104.10991096496582
load_each_image_and_encode_immediately,448,121.95058584213257
load_each_image_and_encode_immediately,512,139.80373191833496
load_each_image_and_encode_immediately,576,156.51137018203735
load_each_image_and_encode_immediately,640,174.2424008846283
load_each_image_and_encode_immediately,704,191.65849590301514
load_each_image_and_encode_immediately,768,209.0279040336609
load_each_image_and_encode_immediately,832,224.98337197303772
load_each_image_and_encode_immediately,896,242.55920720100403
load_each_image_and_encode_immediately,960,258.8419671058655
load_each_image_and_encode_immediately,1024,278.1426661014557
