similarity_metric,collection,model,top_k,accuracy
cosine,ViT_B_32_CUHK,ViT-B-32,1,0.21246819338422393
cosine,ViT_B_32_CUHK,ViT-B-32,2,0.2589058524173028
cosine,ViT_B_32_CUHK,ViT-B-32,5,0.3155216284987277
cosine,ViT_B_32_CUHK,ViT-B-32,10,0.37213740458015265
cosine,ViT_B_32_CUHK,ViT-B-32,15,0.41857506361323155
cosine,ViT_B_32_CUHK,ViT-B-32,20,0.44783715012722647
cosine,ViT_B_32_CUHK,ViT-B-32,1,0.22073791348600508
cosine,ViT_B_32_CUHK,ViT-B-32,2,0.2729007633587786
cosine,ViT_B_32_CUHK,ViT-B-32,5,0.3326972010178117
cosine,ViT_B_32_CUHK,ViT-B-32,10,0.3924936386768448
cosine,ViT_B_32_CUHK,ViT-B-32,15,0.4312977099236641
cosine,ViT_B_32_CUHK,ViT-B-32,20,0.46501272264631044
cosine,ViT_B_32_CUHK,ViT-B-32,1,0.20483460559796438
cosine,ViT_B_32_CUHK,ViT-B-32,2,0.25190839694656486
cosine,ViT_B_32_CUHK,ViT-B-32,5,0.3212468193384224
cosine,ViT_B_32_CUHK,ViT-B-32,10,0.3753180661577608
cosine,ViT_B_32_CUHK,ViT-B-32,15,0.4179389312977099
cosine,ViT_B_32_CUHK,ViT-B-32,20,0.44656488549618323
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,1,0.5318066157760815
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,2,0.601145038167939
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,5,0.6838422391857506
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,10,0.7506361323155216
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,15,0.7818066157760815
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,20,0.8072519083969466
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,1,0.31170483460559795
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,2,0.36005089058524176
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,5,0.44083969465648853
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,10,0.5031806615776081
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,15,0.5343511450381679
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,20,0.5597964376590331
cosine,ViT_B_32_CUHK,ViT-B-32,1,0.20737913486005088
cosine,ViT_B_32_CUHK,ViT-B-32,2,0.25127226463104324
cosine,ViT_B_32_CUHK,ViT-B-32,5,0.31297709923664124
cosine,ViT_B_32_CUHK,ViT-B-32,10,0.36768447837150126
cosine,ViT_B_32_CUHK,ViT-B-32,15,0.41030534351145037
cosine,ViT_B_32_CUHK,ViT-B-32,20,0.44147582697201015
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,1,0.5356234096692112
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,2,0.5973282442748091
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,5,0.676208651399491
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,10,0.732824427480916
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,15,0.7735368956743003
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,20,0.794529262086514
cosine,ViT_B_32_CUHK,ViT-B-32,1,0.21501272264631044
cosine,ViT_B_32_CUHK,ViT-B-32,2,0.25636132315521626
cosine,ViT_B_32_CUHK,ViT-B-32,5,0.31806615776081426
cosine,ViT_B_32_CUHK,ViT-B-32,10,0.3683206106870229
cosine,ViT_B_32_CUHK,ViT-B-32,15,0.410941475826972
cosine,ViT_B_32_CUHK,ViT-B-32,20,0.4344783715012723
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,1,0.29770992366412213
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,2,0.3530534351145038
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,5,0.43384223918575066
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,10,0.4770992366412214
